feature,importance
V2_var,0.0010733972661093364
aVF_q75,0.0010712843710854116
QT_interval_kurt,0.0010637847511826635
II_RR_median,0.0010368110023539101
aVF_iqr,0.0010246872029536303
QT_interval_min,0.0010217460568589392
P_wave_duration_q75,0.0010164076399188837
II_RR_mean,0.0010098453964014565
ST_slope_std,0.0009891252077765037
wavelet_energy_d3,0.000988590767555765
III_q75,0.0009883063302534372
HRV_CVSD,0.0009875130554442776
V1_median,0.000939025154311709
QRS_duration_q75,0.0009370268005615935
QRS_duration_var,0.000933463585366097
II_RR_var,0.0009151891137079699
P_wave_duration_max,0.0009147222407494475
V6_kurt,0.0009003371185992513
HRV_RMSSD,0.0008863094637271555
ST_segment_median,0.0008820646919728289
I_median,0.000875214261274144
HRV_MedianNN,0.0008628793435373291
V5_q75,0.0008467766872657741
PR_segment_skew,0.000845888888593767
PR_segment_mean,0.0008402660110378183
PR_segment_var,0.0008360804584742294
PR_interval_q75,0.0008234481228999779
QT_interval_range,0.0008215967396612364
V1_kurt,0.0008139990079403527
PR_interval_q25,0.00080400406943932
ST_segment_skew,0.0007908974953430403
PR_segment_min,0.0007855927204998526
HRV_pNN20,0.000783763961314808
PR_interval_std,0.0007673345751031458
PR_interval_min,0.0007655367223072148
II_RR_q75,0.0007430270333041986
II_mean,0.0007377535456945225
V4_max,0.0007202079333464435
ST_slope_median,0.0007166277252359781
QT_interval_max,0.000716416682162904
V4_q75,0.0007135915923049144
P_wave_duration_kurt,0.0007087405957704528
ST_segment_q25,0.0007038241267672197
II_RR_skew,0.0006973211845372677
PR_interval_kurt,0.0006866127004154634
aVF_max,0.0006657194102750269
PR_segment_max,0.0006644253697723288
II_kurt,0.0006628265337732566
aVF_median,0.0006479290818863789
PR_segment_q75,0.0006359794341580819
HRV_SDNN,0.0006184428327570324
aVL_q25,0.0006069478978743995
III_median,0.0005982259361759835
P_wave_duration_median,0.0005909016172658525
P_wave_duration_min,0.0005829774256110842
II_RR_min,0.0005746329973070215
P_wave_duration_mean,0.0005687943102381085
V2_range,0.0005396157047028603
III_max,0.0005302163996013638
aVF_mean,0.0005074725350725619
ST_slope_iqr,0.00048512912499231494
III_q25,0.00047557069863771824
HRV_MaxNN,0.00047419988513746855
aVF_std,0.00046771829086314086
HRV_MeanNN,0.0004627341121809661
V1_q25,0.0004551952780753012
aVL_iqr,0.0004391834614828132
P_wave_duration_std,0.0004316467632057148
PR_segment_iqr,0.0004219410449657244
QRS_duration_kurt,0.00041967633207414846
ST_slope_range,0.0004137802550867903
ST_segment_iqr,0.00040207830331060666
ST_slope_skew,0.00039538286232532226
aVF_var,0.00037993613870174436
III_mean,0.0003764672539026481
PR_interval_iqr,0.0003694372221584883
V3_max,0.00036404250825695163
QT_interval_std,0.0003268836143578959
aVL_skew,0.00032508092410011343
V2_q25,0.0003154543217202334
III_std,0.00028335259616196713
V4_iqr,0.0002785381227732487
P_wave_duration_skew,0.0002779690194516494
ST_segment_var,0.0002700312675301097
PR_interval_mean,0.0002607207598958437
QRS_duration_skew,0.000260683365967683
III_iqr,0.0002597501682559979
I_q75,0.00024180279353479823
PR_interval_max,0.00023130752928621586
V2_median,0.00022118631663528094
I_mean,0.00021614096142299048
P_wave_duration_q25,0.00020570225355913695
PR_segment_q25,0.00019460298077641648
PR_interval_median,0.00018428988741139813
QRS_duration_std,0.000166931158797882
II_iqr,0.00015904560699568166
QT_interval_q75,0.0001580475163205572
aVL_median,0.0001251585928995763
ST_segment_kurt,0.00010433069156763451
V3_q75,8.764081442411352e-05
II_RR_kurt,7.878021956120907e-05
ST_segment_range,5.9454976740104145e-05
aVL_q75,4.526452164389487e-05
HRV_pNN50,2.6665115168702736e-05
P_wave_duration_iqr,2.5162100650168986e-05
inferior_QRS_amplitude_median,0.0
rhythm_analysis_P_wave_amplitude_median,0.0
anterior_QRS_amplitude_mean,0.0
lateral_T_wave_duration_mean,0.0
anterior_T_wave_amplitude_median,0.0
anterior_T_wave_amplitude_mean,0.0
anterior_T_wave_duration_median,0.0
anterior_T_wave_duration_mean,0.0
anterior_QRS_amplitude_median,0.0
anterior_QRS_duration_median,0.0
lateral_T_wave_amplitude_mean,0.0
anterior_QRS_duration_mean,0.0
septal_rv_QRS_duration_median,0.0
septal_rv_P_wave_amplitude_median,0.0
septal_rv_P_wave_amplitude_mean,0.0
septal_rv_P_wave_duration_median,0.0
septal_rv_P_wave_duration_mean,0.0
lateral_T_wave_duration_median,0.0
lateral_T_wave_amplitude_median,0.0
rhythm_analysis_P_wave_amplitude_mean,0.0
inferior_QT_interval_median,0.0
rhythm_analysis_P_wave_duration_median,0.0
rhythm_analysis_P_wave_duration_mean,0.0
high_lateral_QRS_amplitude_median,0.0
high_lateral_QRS_amplitude_mean,0.0
high_lateral_QRS_duration_median,0.0
high_lateral_QRS_duration_mean,0.0
inferior_QT_interval_mean,0.0
lateral_QT_interval_mean,0.0
inferior_QRS_amplitude_mean,0.0
inferior_QRS_duration_median,0.0
inferior_QRS_duration_mean,0.0
lateral_QTc_interval_median,0.0
lateral_QTc_interval_mean,0.0
lateral_QT_interval_median,0.0
septal_rv_QRS_duration_mean,0.0
